GameID,DateGame,VisitorTeam,HomeTeam,ShotType,PlayerID,PlayerName,XCoord,YCoord,ShotDistance
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",9,-1,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,greenda02,"Danny Green",2,0,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,murrade01,"Dejounte Murray",144,213,25.00
201710230SAS,2017-10-23,TOR,SAS,fg3,greenda02,"Danny Green",234,15,23.00
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",109,67,12.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,ginobma01,"Manu Ginobili",72,94,11.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",19,13,2.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,greenda02,"Danny Green",-226,-17,22.00
201710230SAS,2017-10-23,TOR,SAS,fg2,lauvejo01,"Joffrey Lauvergne",7,8,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2,ginobma01,"Manu Ginobili",-5,-4,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,gayru01,"Rudy Gay",-20,36,4.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,millspa02,"Patty Mills",-106,216,24.00
201710230SAS,2017-10-23,TOR,SAS,fg2,lauvejo01,"Joffrey Lauvergne",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,anderky01,"Kyle Anderson",-209,-18,20.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,millspa02,"Patty Mills",-68,232,24.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,anderky01,"Kyle Anderson",-15,9,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,anderky01,"Kyle Anderson",-10,1,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2,lauvejo01,"Joffrey Lauvergne",-4,-1,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,millspa02,"Patty Mills",-4,-4,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",2,-4,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,ginobma01,"Manu Ginobili",139,213,25.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gayru01,"Rudy Gay",5,24,2.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",-4,14,1.00
